,time,coords_1,coords_2,distance
124,2019-11-05 09:56:32+00:00,,"('52.36750841529792', '4.918104316676818', datetime.datetime(2019, 11, 5, 9, 56, 41, tzinfo=tzutc()))",
125,2019-11-05 09:57:02+00:00,,"('52.36750841529792', '4.918104316676818', datetime.datetime(2019, 11, 5, 9, 56, 41, tzinfo=tzutc()))",
126,2019-11-05 09:57:32+00:00,,"('52.367613230642405', '4.917439128841124', datetime.datetime(2019, 11, 5, 9, 57, 14, tzinfo=tzutc()))",
127,2019-11-05 09:58:02+00:00,,"('52.367904747011565', '4.916607644046508', datetime.datetime(2019, 11, 5, 9, 58, tzinfo=tzutc()))",
128,2019-11-05 09:58:32+00:00,,"('52.368229015768826', '4.915851261104308', datetime.datetime(2019, 11, 5, 9, 58, 44, tzinfo=tzutc()))",
129,2019-11-05 09:59:02+00:00,,"('52.368229015768826', '4.915851261104308', datetime.datetime(2019, 11, 5, 9, 58, 44, tzinfo=tzutc()))",
130,2019-11-05 09:59:32+00:00,,"('52.36847794774523', '4.915148522342406', datetime.datetime(2019, 11, 5, 9, 59, 23, tzinfo=tzutc()))",
131,2019-11-05 10:00:02+00:00,,"('52.36870179372205', '4.914332999333965', datetime.datetime(2019, 11, 5, 10, 0, 6, tzinfo=tzutc()))",
132,2019-11-05 10:00:32+00:00,,"('52.36870179372205', '4.914332999333965', datetime.datetime(2019, 11, 5, 10, 0, 6, tzinfo=tzutc()))",
133,2019-11-05 10:01:02+00:00,,"('52.368970375288576', '4.913662447080242', datetime.datetime(2019, 11, 5, 10, 0, 44, tzinfo=tzutc()))",
134,2019-11-05 10:01:32+00:00,,"('52.369252056640484', '4.912863148793804', datetime.datetime(2019, 11, 5, 10, 1, 28, tzinfo=tzutc()))",
135,2019-11-05 10:02:02+00:00,,"('52.36957304017742', '4.911949968269937', datetime.datetime(2019, 11, 5, 10, 2, 19, tzinfo=tzutc()))",
136,2019-11-05 10:02:32+00:00,,"('52.36957304017742', '4.911949968269937', datetime.datetime(2019, 11, 5, 10, 2, 19, tzinfo=tzutc()))",
137,2019-11-05 10:03:02+00:00,,"('52.36970732851614', '4.911553001335733', datetime.datetime(2019, 11, 5, 10, 2, 41, tzinfo=tzutc()))",
138,2019-11-05 10:03:32+00:00,,,
139,2019-11-05 10:04:02+00:00,,,
140,2019-11-05 10:04:32+00:00,,,
141,2019-11-05 10:05:02+00:00,,,
142,2019-11-05 10:05:32+00:00,,,
143,2019-11-05 10:06:02+00:00,,,
144,2019-11-05 10:06:32+00:00,,,
145,2019-11-05 10:07:02+00:00,,,
146,2019-11-05 10:07:32+00:00,,,
147,2019-11-05 10:08:02+00:00,,,
148,2019-11-05 10:08:32+00:00,,,
149,2019-11-05 10:09:02+00:00,,,
150,2019-11-05 10:09:32+00:00,,,
151,2019-11-05 10:10:02+00:00,,,
152,2019-11-05 10:10:32+00:00,,,
153,2019-11-05 10:11:02+00:00,,,
154,2019-11-05 10:11:32+00:00,,,
155,2019-11-05 10:12:02+00:00,,,
156,2019-11-05 10:12:32+00:00,,,
157,2019-11-05 10:13:02+00:00,,,
158,2019-11-05 10:13:32+00:00,,,
159,2019-11-05 10:14:02+00:00,,,
160,2019-11-05 10:14:32+00:00,,,
161,2019-11-05 10:15:02+00:00,,,
162,2019-11-05 10:15:32+00:00,,,
163,2019-11-05 10:16:02+00:00,,,
164,2019-11-05 10:16:32+00:00,,,
165,2019-11-05 10:17:02+00:00,,,
166,2019-11-05 10:17:32+00:00,,,
167,2019-11-05 10:18:02+00:00,,,
168,2019-11-05 10:18:32+00:00,,,
169,2019-11-05 10:19:02+00:00,,,
170,2019-11-05 10:19:32+00:00,,,
171,2019-11-05 10:20:02+00:00,,,
172,2019-11-05 10:20:32+00:00,,,
173,2019-11-05 10:21:02+00:00,,,
174,2019-11-05 10:21:32+00:00,,,
175,2019-11-05 10:22:02+00:00,,,
176,2019-11-05 10:22:32+00:00,,,
177,2019-11-05 10:23:02+00:00,,,
178,2019-11-05 10:23:32+00:00,,,
179,2019-11-05 10:24:02+00:00,,,
180,2019-11-05 10:24:32+00:00,,,
181,2019-11-05 10:25:02+00:00,,,
182,2019-11-05 10:25:32+00:00,,,
183,2019-11-05 10:26:02+00:00,,,
184,2019-11-05 10:26:32+00:00,,,
185,2019-11-05 10:27:02+00:00,,,
186,2019-11-05 10:27:32+00:00,,,
187,2019-11-05 10:28:02+00:00,,,
188,2019-11-05 10:28:32+00:00,,,
189,2019-11-05 10:29:02+00:00,,,
190,2019-11-05 10:29:32+00:00,,,
191,2019-11-05 10:30:02+00:00,,,
192,2019-11-05 10:30:32+00:00,,,
193,2019-11-05 10:31:02+00:00,,,
194,2019-11-05 10:31:32+00:00,,,
195,2019-11-05 10:32:02+00:00,,,
196,2019-11-05 10:32:32+00:00,,,
197,2019-11-05 10:33:02+00:00,,,
198,2019-11-05 10:33:32+00:00,,,
199,2019-11-05 10:34:02+00:00,,,
200,2019-11-05 10:34:32+00:00,,,
201,2019-11-05 10:35:02+00:00,,,
202,2019-11-05 10:35:32+00:00,,,
203,2019-11-05 10:36:02+00:00,,,
204,2019-11-05 10:36:32+00:00,,,
205,2019-11-05 10:37:02+00:00,,,
206,2019-11-05 10:37:32+00:00,,,
207,2019-11-05 10:38:02+00:00,,,
208,2019-11-05 10:38:32+00:00,,,
209,2019-11-05 10:39:02+00:00,,,
210,2019-11-05 10:39:32+00:00,,,
211,2019-11-05 10:40:02+00:00,,,
212,2019-11-05 10:40:32+00:00,,,
213,2019-11-05 10:41:02+00:00,,,
214,2019-11-05 10:41:32+00:00,,,
215,2019-11-05 10:42:02+00:00,,,
216,2019-11-05 10:42:32+00:00,,,
217,2019-11-05 10:43:02+00:00,,,
218,2019-11-05 10:43:32+00:00,,,
219,2019-11-05 10:44:02+00:00,,,
220,2019-11-05 10:44:32+00:00,,,
221,2019-11-05 10:45:02+00:00,,,
222,2019-11-05 10:45:32+00:00,,,
223,2019-11-05 10:46:02+00:00,,,
224,2019-11-05 10:46:32+00:00,,,
225,2019-11-05 10:47:02+00:00,,,
226,2019-11-05 10:47:32+00:00,,,
227,2019-11-05 10:48:02+00:00,,,
228,2019-11-05 10:48:32+00:00,,,
229,2019-11-05 10:49:02+00:00,,,
230,2019-11-05 10:49:32+00:00,,,
231,2019-11-05 10:50:02+00:00,,,
232,2019-11-05 10:50:32+00:00,,,
233,2019-11-05 10:51:02+00:00,,,
234,2019-11-05 10:51:32+00:00,,,
235,2019-11-05 10:52:02+00:00,,,
236,2019-11-05 10:52:32+00:00,,,
237,2019-11-05 10:53:02+00:00,,,
238,2019-11-05 10:53:32+00:00,,,
239,2019-11-05 10:54:02+00:00,,,
240,2019-11-05 10:54:32+00:00,,,
241,2019-11-05 10:55:02+00:00,,,
242,2019-11-05 10:55:32+00:00,,,
243,2019-11-05 10:56:02+00:00,,,
244,2019-11-05 10:56:32+00:00,,,
245,2019-11-05 10:57:02+00:00,,,
246,2019-11-05 10:57:32+00:00,,,
247,2019-11-05 10:58:02+00:00,,,
248,2019-11-05 10:58:32+00:00,,,
249,2019-11-05 10:59:02+00:00,,,
250,2019-11-05 10:59:32+00:00,,,
251,2019-11-05 11:00:02+00:00,,,
252,2019-11-05 11:00:32+00:00,,,
253,2019-11-05 11:01:02+00:00,,,
254,2019-11-05 11:01:32+00:00,,,
255,2019-11-05 11:02:02+00:00,,,
256,2019-11-05 11:02:32+00:00,,,
257,2019-11-05 11:03:02+00:00,,,
258,2019-11-05 11:03:32+00:00,,,
259,2019-11-05 11:04:02+00:00,,,
260,2019-11-05 11:04:32+00:00,,,
261,2019-11-05 11:05:02+00:00,,,
262,2019-11-05 11:05:32+00:00,,,
263,2019-11-05 11:06:02+00:00,,,
264,2019-11-05 11:06:32+00:00,,,
265,2019-11-05 11:07:02+00:00,,,
266,2019-11-05 11:07:32+00:00,,,
267,2019-11-05 11:08:02+00:00,,,
268,2019-11-05 11:08:32+00:00,,,
269,2019-11-05 11:09:02+00:00,,,
270,2019-11-05 11:09:32+00:00,,,
271,2019-11-05 11:10:02+00:00,,,
272,2019-11-05 11:10:32+00:00,,,
273,2019-11-05 11:11:02+00:00,,,
274,2019-11-05 11:11:32+00:00,,,
275,2019-11-05 11:12:02+00:00,,,
276,2019-11-05 11:12:32+00:00,,,
277,2019-11-05 11:13:02+00:00,,,
